car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,engine_per_seat
Maruti Wagon R,Maruti,Wagon R,2,9605,Dealer,Petrol,Manual,20.52,1197,81.8,5,500000,13.122365377402328,52.05622071837585,239.4
Renault KWID,Renault,KWID,5,58000,Dealer,Petrol,Manual,23.01,999,67.0,5,345000,12.75130259456002,5.948275862068965,199.8
Mahindra KUV100,Mahindra,KUV100,3,22000,Individual,Petrol,Manual,18.15,1198,82.0,6,450000,13.017005083966255,20.454545454545453,199.66666666666666
Mahindra Marazzo,Mahindra,Marazzo,1,20000,Individual,Diesel,Manual,17.3,1497,121.0,7,950000,13.76421831620775,47.5,213.85714285714286
Hyundai Creta,Hyundai,Creta,3,70000,Individual,Diesel,Manual,22.1,1396,88.7,5,998000,13.813509557297108,14.257142857142858,279.2
Maruti Baleno,Maruti,Baleno,1,30000,Individual,Petrol,Automatic,19.56,1197,81.8,5,890000,13.698977865303197,29.666666666666668,239.4
Volkswagen Polo,Volkswagen,Polo,5,146000,Individual,Petrol,Manual,18.78,1198,74.0,5,350000,12.765691290604371,2.3972602739726026,239.6
Ford Figo,Ford,Figo,4,40000,Individual,Diesel,Manual,24.29,1498,99.0,5,580000,13.270785106659046,14.5,299.6
Hyundai Grand,Hyundai,Grand,5,30000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,13.217675375388819,18.333333333333332,239.4
Toyota Yaris,Toyota,Yaris,3,30000,Individual,Petrol,Automatic,17.8,1496,105.5,5,1300000,14.077875591662238,43.333333333333336,299.2
Hyundai Verna,Hyundai,Verna,4,28000,Dealer,Petrol,Automatic,17.0,1591,121.3,5,1090000,13.901689171636098,38.92857142857143,318.2
BMW 3,BMW,3,10,90000,Dealer,Diesel,Automatic,16.07,1995,181.0,5,895000,13.704580114574805,9.944444444444445,399.0
Mahindra Bolero,Mahindra,Bolero,14,110000,Individual,Diesel,Manual,13.6,2523,63.0,7,250000,12.429220196836383,2.272727272727273,360.42857142857144
Ford Ecosport,Ford,Ecosport,6,27000,Dealer,Petrol,Automatic,15.63,1499,110.4,5,750000,13.527829818844937,27.77777777777778,299.8
Honda Amaze,Honda,Amaze,6,40000,Individual,Petrol,Manual,18.0,1198,86.7,5,450000,13.017005083966255,11.25,239.6
Maruti Swift Dzire,Maruti,Swift Dzire,11,60000,Individual,Diesel,Manual,19.3,1248,73.9,5,310000,12.644330802262578,5.166666666666667,249.6
Hyundai i20,Hyundai,i20,6,27452,Dealer,Petrol,Manual,18.6,1197,81.83,5,540000,13.199326270390594,19.67069794550488,239.4
Mahindra Bolero,Mahindra,Bolero,8,75000,Individual,Diesel,Manual,15.96,2523,62.1,7,521000,13.163507240119458,6.946666666666666,360.42857142857144
Maruti Alto,Maruti,Alto,6,18604,Dealer,Petrol,Manual,22.74,796,47.3,5,310000,12.644330802262578,16.663083207912276,159.2
Maruti Vitara,Maruti,Vitara,3,48000,Dealer,Diesel,Manual,24.3,1248,88.5,5,855000,13.658857917508856,17.8125,249.6
Mahindra Thar,Mahindra,Thar,6,36000,Dealer,Diesel,Manual,18.06,2523,63.0,7,725000,13.493928313146206,20.13888888888889,360.42857142857144
Maruti Swift,Maruti,Swift,6,87020,Dealer,Petrol,Manual,21.21,1197,81.8,5,550000,13.217675375388819,6.320386118133762,239.4
Mahindra Scorpio,Mahindra,Scorpio,11,95000,Individual,Diesel,Automatic,11.79,2179,120.0,8,500000,13.122365377402328,5.2631578947368425,272.375
Toyota Innova,Toyota,Innova,8,170000,Individual,Diesel,Manual,12.99,2494,100.6,7,700000,13.45883704259595,4.117647058823529,356.2857142857143
Maruti Alto,Maruti,Alto,9,32103,Dealer,Petrol,Manual,20.92,998,67.1,5,245000,12.409017571151187,7.631685512257421,199.6
Hyundai i20,Hyundai,i20,11,72240,Individual,Petrol,Manual,17.0,1197,80.0,5,350000,12.765691290604371,4.844961240310077,239.4
Hyundai i10,Hyundai,i10,10,66000,Dealer,Petrol,Manual,20.36,1197,78.9,5,285000,12.560247968016562,4.318181818181818,239.4
Ford Aspire,Ford,Aspire,4,90000,Individual,Diesel,Manual,25.83,1498,99.0,5,530000,13.180634172318978,5.888888888888889,299.6
Maruti Swift Dzire,Maruti,Swift Dzire,8,82000,Dealer,Diesel,Manual,19.3,1248,73.9,5,489000,13.100119813444692,5.963414634146342,249.6
Renault Duster,Renault,Duster,5,123000,Individual,Diesel,Manual,19.64,1461,108.45,5,650000,13.384729180332174,5.284552845528455,292.2
Hyundai i20,Hyundai,i20,7,75000,Dealer,Diesel,Manual,22.54,1396,88.73,5,499000,13.120363378739663,6.653333333333333,279.2
Volkswagen Polo,Volkswagen,Polo,9,72000,Dealer,Petrol,Manual,16.47,1198,73.9,5,311000,12.647551406590285,4.319444444444445,239.6
Hyundai i10,Hyundai,i10,11,50000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,350000,12.765691290604371,7.0,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,4,32000,Dealer,Diesel,Automatic,28.4,1248,74.02,5,785000,13.573440270649085,24.53125,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,3,18000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,750000,13.527829818844937,41.666666666666664,239.4
Maruti Eeco,Maruti,Eeco,5,15000,Individual,Petrol,Manual,15.37,1196,73.0,7,350000,12.765691290604371,23.333333333333332,170.85714285714286
Hyundai i20,Hyundai,i20,7,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,460000,13.038983942375959,11.5,239.4
Hyundai i20,Hyundai,i20,2,11972,Dealer,Petrol,Manual,18.6,1197,81.83,5,635000,13.361381852676738,53.04042766455062,239.4
Mahindra Scorpio,Mahindra,Scorpio,9,212000,Individual,Diesel,Automatic,11.79,2179,120.0,8,450000,13.017005083966255,2.1226415094339623,272.375
Maruti Swift Dzire,Maruti,Swift Dzire,4,56000,Dealer,Diesel,Manual,26.59,1248,74.0,5,651000,13.386266457287837,11.625,249.6
Hyundai Grand,Hyundai,Grand,7,95094,Dealer,Diesel,Manual,24.0,1120,70.0,5,395000,12.886643575525625,4.153784676215113,224.0
Maruti Swift,Maruti,Swift,11,74000,Dealer,Diesel,Manual,28.4,1248,74.0,5,340000,12.73670383776449,4.594594594594595,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,4,48300,Individual,Diesel,Manual,28.4,1248,74.02,5,350000,12.765691290604371,7.246376811594203,249.6
Mahindra Bolero,Mahindra,Bolero,10,95000,Individual,Diesel,Manual,13.6,2523,63.0,7,330000,12.706850963741102,3.473684210526316,360.42857142857144
Renault Duster,Renault,Duster,6,30000,Individual,Diesel,Manual,20.45,1461,83.8,5,800000,13.592368256649284,26.666666666666668,292.2
Maruti Eeco,Maruti,Eeco,2,25000,Individual,Petrol,Manual,15.37,1196,73.0,5,370000,12.821260987319457,14.8,239.2
Maruti Swift Dzire,Maruti,Swift Dzire,8,105000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000,12.899222326086994,3.8095238095238093,239.4
Ford Figo,Ford,Figo,9,90000,Individual,Diesel,Manual,20.0,1399,68.0,5,280000,12.54254845357358,3.111111111111111,279.8
Volkswagen Vento,Volkswagen,Vento,6,50000,Dealer,Diesel,Manual,22.27,1498,108.6,5,550000,13.217675375388819,11.0,299.6
Maruti Swift Dzire,Maruti,Swift Dzire,8,56000,Individual,Diesel,Manual,19.3,1248,73.9,5,520000,13.161586013632684,9.285714285714286,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,5,110000,Individual,Diesel,Manual,26.59,1248,74.0,5,535000,13.190023895035274,4.863636363636363,249.6
Maruti Swift,Maruti,Swift,6,50000,Individual,Petrol,Manual,20.4,1197,81.8,5,450000,13.017005083966255,9.0,239.4
Maruti Alto,Maruti,Alto,5,25000,Dealer,Petrol,Automatic,23.95,998,67.05,5,415000,12.936036208848487,16.6,199.6
Honda Jazz,Honda,Jazz,5,46858,Dealer,Petrol,Automatic,19.0,1199,88.7,5,725000,13.493928313146206,15.472277946135131,239.8
Tata Safari,Tata,Safari,12,80000,Individual,Diesel,Manual,13.93,2179,138.0,7,265000,12.487488878546145,3.3125,311.2857142857143
Ford Ecosport,Ford,Ecosport,6,67300,Individual,Petrol,Manual,15.85,1499,110.4,5,600000,13.304686600863562,8.915304606240714,299.8
Hyundai Grand,Hyundai,Grand,8,65000,Dealer,Diesel,Manual,24.0,1120,70.0,5,348000,12.759960632315702,5.3538461538461535,224.0
Maruti Swift Dzire,Maruti,Swift Dzire,3,48000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,765000,13.547632419997361,15.9375,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,7,36658,Dealer,Diesel,Manual,23.4,1248,74.0,5,590000,13.28787951079572,16.094713295869933,249.6
Honda City,Honda,City,5,14000,Individual,Petrol,Automatic,18.0,1497,117.3,5,850000,13.652992804936396,60.714285714285715,299.4
Hyundai Verna,Hyundai,Verna,9,57400,Dealer,Diesel,Manual,16.8,1493,110.0,5,525000,13.171155446333852,9.146341463414634,298.6
Maruti Swift,Maruti,Swift,5,90000,Individual,Petrol,Manual,20.4,1197,81.8,5,500000,13.122365377402328,5.555555555555555,239.4
Maruti Alto,Maruti,Alto,2,32895,Dealer,Petrol,Manual,22.05,796,47.3,5,300000,12.611541086966115,9.119927040583676,159.2
Toyota Innova,Toyota,Innova,7,120000,Individual,Diesel,Manual,12.99,2494,100.6,7,925000,13.73755009757506,7.708333333333333,356.2857142857143
Maruti Swift,Maruti,Swift,7,16000,Individual,Diesel,Manual,25.2,1248,74.0,5,500000,13.122365377402328,31.25,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,11,35966,Dealer,Petrol,Manual,17.5,1298,85.8,5,260000,12.468440756144114,7.229049658010343,259.6
Renault Duster,Renault,Duster,4,50000,Individual,Diesel,Manual,19.87,1461,83.8,5,750000,13.527829818844937,15.0,292.2
Hyundai i20,Hyundai,i20,4,27240,Dealer,Petrol,Manual,17.19,1197,81.86,5,642000,13.372345140303285,23.568281938325992,239.4
Maruti Alto,Maruti,Alto,7,45075,Dealer,Petrol,Manual,22.74,796,47.3,5,255000,12.449022745701502,5.657237936772047,159.2
Renault KWID,Renault,KWID,3,7300,Individual,Petrol,Manual,25.17,799,53.3,5,330000,12.706850963741102,45.205479452054796,159.8
Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,17.19,1197,81.86,5,500000,13.122365377402328,12.5,239.4
Toyota Innova,Toyota,Innova,8,150000,Dealer,Diesel,Manual,12.8,2494,102.0,8,1190000,13.989464705423494,7.933333333333334,311.75
Volkswagen Polo,Volkswagen,Polo,9,70000,Individual,Diesel,Manual,22.07,1199,73.9,5,425000,12.959846800844963,6.071428571428571,239.8
Tata Safari,Tata,Safari,8,158000,Dealer,Diesel,Manual,14.0,2179,138.1,7,470000,13.060490101343552,2.9746835443037973,311.2857142857143
Mahindra XUV500,Mahindra,XUV500,5,80000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1050000,13.864301674514206,13.125,311.2857142857143
Toyota Fortuner,Toyota,Fortuner,9,147550,Dealer,Diesel,Manual,13.0,2982,168.5,7,1400000,14.151983508870947,9.488309047780414,426.0
Renault Duster,Renault,Duster,8,80000,Individual,Diesel,Manual,19.01,1461,108.45,5,550000,13.217675375388819,6.875,292.2
Maruti Alto,Maruti,Alto,5,15000,Individual,Petrol,Manual,22.74,796,47.3,5,295000,12.59473402514672,19.666666666666668,159.2
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,12,107742,Dealer,Diesel,Automatic,11.0,2987,198.5,5,1175000,13.976779556623864,10.905682092405932,597.4
Mahindra Scorpio,Mahindra,Scorpio,4,58446,Dealer,Diesel,Manual,15.4,2179,120.0,7,900000,13.710151153416941,15.398829688943641,311.2857142857143
Honda City,Honda,City,7,68000,Dealer,Diesel,Manual,25.1,1498,98.6,5,645000,13.377007146164305,9.485294117647058,299.6
Hyundai Verna,Hyundai,Verna,4,41000,Dealer,Diesel,Manual,23.9,1582,126.2,5,835000,13.635188201437066,20.365853658536587,316.4
Datsun RediGO,Datsun,RediGO,3,20000,Individual,Petrol,Manual,22.7,799,53.64,5,425000,12.959846800844963,21.25,159.8
Mahindra Bolero,Mahindra,Bolero,2,35000,Individual,Diesel,Manual,15.96,2523,63.0,9,870000,13.676249640055394,24.857142857142858,280.3333333333333
Hyundai i10,Hyundai,i10,9,36834,Dealer,Petrol,Manual,20.36,1197,78.9,5,365000,12.807655372286902,9.909322908182657,239.4
Hyundai i10,Hyundai,i10,11,70000,Individual,Petrol,Manual,20.36,1197,78.9,5,225000,12.323860125621126,3.2142857142857144,239.4
Maruti Wagon R,Maruti,Wagon R,5,48000,Dealer,Petrol,Manual,18.9,998,67.1,5,425000,12.959846800844963,8.854166666666666,199.6
Hyundai i20,Hyundai,i20,7,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,450000,13.017005083966255,7.5,279.2
Hyundai Creta,Hyundai,Creta,3,100000,Individual,Diesel,Manual,22.1,1396,88.7,5,890000,13.698977865303197,8.9,279.2
Renault Duster,Renault,Duster,7,90000,Individual,Diesel,Manual,20.45,1461,83.8,5,450000,13.017005083966255,5.0,292.2
Maruti Ciaz,Maruti,Ciaz,4,57000,Dealer,Diesel,Manual,28.09,1248,88.5,5,720000,13.487007879880162,12.631578947368421,249.6
Maruti Swift,Maruti,Swift,7,70000,Individual,Petrol,Manual,18.6,1197,85.8,5,370000,12.821260987319457,5.285714285714286,239.4
Hyundai Verna,Hyundai,Verna,7,100000,Individual,Diesel,Manual,24.8,1396,88.7,5,700000,13.45883704259595,7.0,279.2
Maruti Baleno,Maruti,Baleno,4,110000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000,13.217675375388819,5.0,239.4
Toyota Innova,Toyota,Innova,7,100000,Individual,Diesel,Manual,12.99,2494,100.6,7,1011000,13.826451487121803,10.11,356.2857142857143
Isuzu D-Max,Isuzu,D-Max,3,120000,Individual,Diesel,Manual,12.4,2499,134.0,5,1200000,13.997832948091215,10.0,499.8
Volkswagen Vento,Volkswagen,Vento,7,69264,Dealer,Diesel,Automatic,21.21,1498,103.2,5,480000,13.081543466215237,6.93000693000693,299.6
Maruti Swift Dzire,Maruti,Swift Dzire,11,50000,Individual,Diesel,Manual,19.3,1248,73.9,5,300000,12.611541086966115,6.0,249.6
Mahindra XUV500,Mahindra,XUV500,6,35000,Individual,Diesel,Manual,15.1,2179,140.0,7,1100000,13.910821646859095,31.428571428571427,311.2857142857143
Mahindra Bolero,Mahindra,Bolero,5,120000,Individual,Diesel,Manual,15.96,2523,62.1,9,600000,13.304686600863562,5.0,280.3333333333333
Maruti Wagon R,Maruti,Wagon R,12,85281,Dealer,Petrol,Manual,18.9,998,67.1,5,210000,12.25486757159303,2.462447672986949,199.6
Maruti Swift,Maruti,Swift,8,75486,Dealer,Diesel,Manual,28.4,1248,74.0,5,455000,13.02805489573287,6.0276077683279015,249.6
Ford Ecosport,Ford,Ecosport,4,39000,Dealer,Diesel,Manual,22.77,1498,98.59,5,835000,13.635188201437066,21.41025641025641,299.6
Hyundai i20,Hyundai,i20,9,50000,Dealer,Petrol,Manual,17.0,1197,80.0,5,435000,12.983103608918753,8.7,239.4
Honda City,Honda,City,6,62000,Dealer,Petrol,Manual,17.8,1497,117.3,5,650000,13.384729180332174,10.483870967741936,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,5,41000,Dealer,Petrol,Manual,20.85,1197,83.14,5,665000,13.407543823396258,16.21951219512195,239.4
Mahindra Scorpio,Mahindra,Scorpio,11,102272,Dealer,Diesel,Manual,12.05,2179,120.0,8,520000,13.161586013632684,5.084480600750939,272.375
Maruti Swift Dzire,Maruti,Swift Dzire,13,84903,Dealer,Diesel,Manual,19.3,1248,73.9,5,340000,12.73670383776449,4.004569920968635,249.6
Toyota Innova,Toyota,Innova,11,200000,Dealer,Diesel,Manual,12.99,2494,100.6,7,650000,13.384729180332174,3.25,356.2857142857143
Maruti Alto,Maruti,Alto,5,62000,Dealer,Petrol,Manual,22.74,796,47.3,5,295000,12.59473402514672,4.758064516129032,159.2
Maruti Swift Dzire,Maruti,Swift Dzire,6,190000,Individual,Diesel,Manual,26.59,1248,74.0,5,500000,13.122365377402328,2.6315789473684212,249.6
Mahindra XUV500,Mahindra,XUV500,1,2200,Individual,Diesel,Manual,15.1,2179,152.87,7,1475000,14.204169225721929,670.4545454545455,311.2857142857143
Hyundai Grand,Hyundai,Grand,1,14000,Individual,Petrol,Automatic,20.7,1197,81.86,5,690000,13.444448325847754,49.285714285714285,239.4
Hyundai Verna,Hyundai,Verna,9,60002,Dealer,Diesel,Automatic,16.2,1493,110.0,5,550000,13.217675375388819,9.166361121295957,298.6
Maruti Ertiga,Maruti,Ertiga,2,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,1000000,13.815511557963774,33.333333333333336,178.28571428571428
Maruti Ignis,Maruti,Ignis,0,5000,Individual,Petrol,Manual,20.89,1197,81.8,5,550000,13.217675375388819,110.0,239.4
Hyundai Grand,Hyundai,Grand,5,21986,Dealer,Petrol,Manual,18.9,1197,82.0,5,560000,13.235693848424024,25.4707541162558,239.4
Hyundai Grand,Hyundai,Grand,6,23787,Dealer,Petrol,Manual,18.9,1197,82.0,5,515000,13.151924121391561,21.65048135536217,239.4
Hyundai i20,Hyundai,i20,5,46000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,11.956521739130435,239.4
Honda City,Honda,City,5,129000,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,13.493928313146206,5.62015503875969,299.4
Honda City,Honda,City,5,28000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,850000,13.652992804936396,30.357142857142858,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,9,100000,Individual,Diesel,Manual,19.3,1248,73.9,5,371000,12.82396003700373,3.71,249.6
Volkswagen Polo,Volkswagen,Polo,5,69000,Dealer,Diesel,Manual,20.14,1498,88.7,5,695000,13.451668563394815,10.072463768115941,299.6
Hyundai i10,Hyundai,i10,10,40000,Individual,Petrol,Manual,20.36,1197,78.9,5,350000,12.765691290604371,8.75,239.4
Hyundai Santro,Hyundai,Santro,13,90000,Individual,Petrol,Manual,17.92,1086,62.1,5,160000,11.982935344196433,1.7777777777777777,217.2
Maruti Swift,Maruti,Swift,14,106000,Dealer,Diesel,Manual,17.8,1248,75.0,5,299000,12.608202196848836,2.8207547169811322,249.6
Hyundai Verna,Hyundai,Verna,7,45354,Individual,Diesel,Manual,22.32,1582,126.32,5,600000,13.304686600863562,13.229263130043657,316.4
Mahindra Thar,Mahindra,Thar,4,20000,Dealer,Diesel,Manual,16.55,2498,105.0,6,870000,13.676249640055394,43.5,416.3333333333333
Honda City,Honda,City,6,78000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,895000,13.704580114574805,11.474358974358974,299.4
Maruti Swift,Maruti,Swift,13,92000,Dealer,Diesel,Manual,17.8,1248,75.0,5,290000,12.577639650232573,3.152173913043478,249.6
Renault KWID,Renault,KWID,3,30000,Individual,Petrol,Manual,25.17,799,53.3,5,350000,12.765691290604371,11.666666666666666,159.8
Hyundai i10,Hyundai,i10,5,70038,Dealer,Petrol,Manual,19.81,1086,68.05,5,420000,12.948012371209098,5.996744624346783,217.2
Hyundai i20,Hyundai,i20,4,57000,Dealer,Petrol,Manual,18.6,1197,81.86,5,690000,13.444448325847754,12.105263157894736,239.4
Toyota Innova,Toyota,Innova,6,200000,Individual,Diesel,Manual,12.99,2494,100.6,8,850000,13.652992804936396,4.25,311.75
Volkswagen Vento,Volkswagen,Vento,6,49728,Dealer,Diesel,Manual,20.34,1498,103.2,5,625000,13.345508528717259,12.568371943371943,299.6
Maruti Alto,Maruti,Alto,3,30000,Individual,Petrol,Manual,23.95,998,67.05,5,350000,12.765691290604371,11.666666666666666,199.6
Hyundai i10,Hyundai,i10,6,25000,Individual,Petrol,Manual,19.81,1086,68.05,5,385000,12.861001210669146,15.4,217.2
Toyota Innova,Toyota,Innova,10,133000,Dealer,Diesel,Manual,12.99,2494,100.6,7,545000,13.208542908506082,4.097744360902255,356.2857142857143
Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,LPG,Manual,14.6,998,61.6,5,350000,12.765691290604371,7.0,199.6
Ford Figo,Ford,Figo,5,35000,Dealer,Petrol,Manual,18.16,1196,86.8,5,595000,13.296318365198623,17.0,239.2
Honda Jazz,Honda,Jazz,3,32000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,750000,13.527829818844937,23.4375,239.8
Honda City,Honda,City,6,75129,Dealer,Petrol,Manual,17.4,1497,117.3,5,640000,13.369225017834633,8.518681201666467,299.4
Honda City,Honda,City,5,66000,Dealer,Diesel,Manual,26.0,1498,98.6,5,785000,13.573440270649085,11.893939393939394,299.6
Hyundai i20,Hyundai,i20,5,27965,Dealer,Petrol,Manual,18.6,1197,81.83,5,625000,13.345508528717259,22.349365278026102,239.4
Maruti Swift,Maruti,Swift,7,70000,Individual,Diesel,Manual,25.2,1248,74.0,5,350000,12.765691290604371,5.0,249.6
Ford Figo,Ford,Figo,4,53400,Dealer,Diesel,Manual,20.0,1399,68.0,5,550000,13.217675375388819,10.299625468164795,279.8
Maruti Swift Dzire,Maruti,Swift Dzire,6,49162,Dealer,Petrol,Manual,22.0,1197,81.8,5,495000,13.112315061750808,10.068752288352792,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,8,200000,Individual,Diesel,Manual,23.4,1248,74.0,5,370000,12.821260987319457,1.85,249.6
Maruti Ignis,Maruti,Ignis,2,8664,Trustmark Dealer,Petrol,Automatic,20.89,1197,81.8,5,630000,13.353476685668044,72.71468144044321,239.4
Datsun GO,Datsun,GO,3,30000,Individual,Petrol,Manual,19.83,1198,67.0,7,410000,12.923914877701906,13.666666666666666,171.14285714285714
Maruti Swift,Maruti,Swift,5,110000,Dealer,Diesel,Manual,25.2,1248,74.0,5,650000,13.384729180332174,5.909090909090909,249.6
Volkswagen Polo,Volkswagen,Polo,5,43000,Dealer,Petrol,Manual,16.47,1198,73.9,5,550000,13.217675375388819,12.790697674418604,239.6
Maruti Baleno,Maruti,Baleno,2,5800,Dealer,Petrol,Manual,21.01,1197,81.8,5,685000,13.437175577097312,118.10344827586206,239.4
Hyundai i20,Hyundai,i20,6,90000,Individual,Diesel,Manual,22.54,1396,88.73,5,625000,13.345508528717259,6.944444444444445,279.2
Renault Duster,Renault,Duster,6,145953,Dealer,Diesel,Manual,20.45,1461,83.8,5,650000,13.384729180332174,4.453488451761869,292.2
Renault KWID,Renault,KWID,1,1200,Individual,Petrol,Automatic,22.0,999,67.0,5,450000,13.017005083966255,375.0,199.8
Mahindra Scorpio,Mahindra,Scorpio,6,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,1020000,13.83531416565213,8.5,285.2857142857143
Honda Amaze,Honda,Amaze,4,97000,Dealer,Diesel,Manual,25.8,1498,98.6,5,460000,13.038983942375959,4.742268041237113,299.6
Maruti Swift,Maruti,Swift,9,100000,Individual,Diesel,Manual,22.9,1248,74.0,5,425000,12.959846800844963,4.25,249.6
Mahindra XUV500,Mahindra,XUV500,6,79304,Dealer,Diesel,Manual,16.0,2179,140.0,7,985000,13.800397935382136,12.420558862100272,311.2857142857143
Maruti Swift Dzire,Maruti,Swift Dzire,6,53000,Dealer,Diesel,Manual,26.59,1248,74.0,5,645000,13.377007146164305,12.169811320754716,249.6
Mahindra XUV500,Mahindra,XUV500,4,62000,Dealer,Diesel,Manual,16.0,1997,140.0,7,1375000,14.13396501635527,22.177419354838708,285.2857142857143
Maruti Alto,Maruti,Alto,9,69254,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,12.345838935721968,3.321107806047304,199.6
Honda Jazz,Honda,Jazz,3,58001,Dealer,Petrol,Manual,16.0,1198,90.0,5,600000,13.304686600863562,10.344649230185686,239.6
Hyundai Grand,Hyundai,Grand,4,40000,Individual,Petrol,Manual,17.0,1197,81.86,5,410000,12.923914877701906,10.25,239.4
Datsun RediGO,Datsun,RediGO,4,40000,Individual,Petrol,Manual,22.5,999,67.0,5,260000,12.468440756144114,6.5,199.8
Volkswagen Vento,Volkswagen,Vento,10,105000,Individual,Diesel,Manual,20.54,1598,103.6,5,395000,12.886643575525625,3.761904761904762,319.6
Honda WR-V,Honda,WR-V,3,22000,Dealer,Petrol,Manual,17.5,1199,88.7,5,750000,13.527829818844937,34.09090909090909,239.8
Maruti Swift,Maruti,Swift,8,70000,Dealer,Diesel,Manual,28.4,1248,74.0,5,490000,13.102162710901053,7.0,249.6
Volkswagen Vento,Volkswagen,Vento,9,120000,Individual,Diesel,Manual,20.54,1598,103.6,5,300000,12.611541086966115,2.5,319.6
Toyota Innova,Toyota,Innova,8,42000,Dealer,Diesel,Manual,12.99,2494,100.6,8,850000,13.652992804936396,20.238095238095237,311.75
Tata Tiago,Tata,Tiago,2,23296,Dealer,Diesel,Manual,27.28,1047,69.0,5,575000,13.26212705890841,24.6823489010989,209.4
Hyundai Verna,Hyundai,Verna,4,10000,Dealer,Diesel,Manual,23.9,1582,126.32,5,1000000,13.815511557963774,100.0,316.4
Volkswagen Vento,Volkswagen,Vento,7,102000,Dealer,Diesel,Manual,20.34,1498,103.2,5,550000,13.217675375388819,5.392156862745098,299.6
Maruti Alto,Maruti,Alto,11,50000,Individual,Petrol,Manual,19.7,796,46.3,5,250000,12.429220196836383,5.0,159.2
Hyundai Verna,Hyundai,Verna,10,8000,Dealer,Petrol,Manual,17.01,1591,121.3,5,550000,13.217675375388819,68.75,318.2
Maruti Alto,Maruti,Alto,11,39290,Dealer,Petrol,Manual,23.95,998,67.05,5,240000,12.388398368982115,6.108424535505217,199.6
Maruti Alto,Maruti,Alto,8,71239,Dealer,Petrol,Manual,22.74,796,47.3,5,260000,12.468440756144114,3.649686267353556,159.2
Skoda Rapid,Skoda,Rapid,3,24000,Dealer,Diesel,Manual,21.13,1498,108.6,5,950000,13.76421831620775,39.583333333333336,299.6
Maruti Ertiga,Maruti,Ertiga,6,55000,Dealer,Diesel,Manual,20.77,1248,88.76,7,735000,13.507627138738266,13.363636363636363,178.28571428571428
Hyundai i20,Hyundai,i20,3,32000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000,13.384729180332174,20.3125,239.4
Tata Safari,Tata,Safari,11,150000,Individual,Diesel,Manual,13.93,2179,138.0,7,350000,12.765691290604371,2.3333333333333335,311.2857142857143
Audi A4,Audi,A4,9,64705,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1350000,14.115615891155079,20.86392087164825,393.6
Skoda Rapid,Skoda,Rapid,5,51930,Dealer,Diesel,Automatic,21.66,1498,103.52,5,795000,13.586098651497313,15.309069901790872,299.6
Hyundai i10,Hyundai,i10,12,42000,Individual,Petrol,Manual,19.81,1086,68.05,5,180000,12.100717685412471,4.285714285714286,217.2
Hyundai i10,Hyundai,i10,5,16500,Dealer,Petrol,Manual,19.81,1086,68.05,5,465000,13.049794835104816,28.181818181818183,217.2
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,22.05,796,47.3,5,300000,12.611541086966115,60.0,159.2
Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,22.54,1396,88.73,5,550000,13.217675375388819,5.5,279.2
Audi A4,Audi,A4,11,70000,Dealer,Petrol,Automatic,10.8,1984,132.0,5,1200000,13.997832948091215,17.142857142857142,396.8
Maruti Celerio,Maruti,Celerio,3,40000,Individual,Petrol,Automatic,23.1,998,67.04,5,350000,12.765691290604371,8.75,199.6
Maruti Alto,Maruti,Alto,4,80000,Individual,Petrol,Manual,23.95,998,67.05,5,300000,12.611541086966115,3.75,199.6
